Alter_Besucher,Einkommen_Besucher,Geschlecht_Besucher,Zeit_Besucher,KundeNr,Alter_Kunden,Einkommen_Kunden,Preis,Geschlecht_Kunden,Zeit_Kunden,Niederlassung
39.0,56023.57481737575,männlich,59.0,K1322,,,,,,Baden-Württemberg
43.0,53592.01268373325,weiblich,31.0,K1109,,,,,,Nordrhein-Westfalen
36.0,46292.64821649616,männlich,42.0,K1747,,,,,,Baden-Württemberg
51.0,53493.22245123,weiblich,57.0,K1902,,,,,,Niedersachsen
47.0,63291.36034723298,männlich,46.0,K1717,,,,,,Baden-Württemberg
62.0,74418.17682867263,weiblich,30.0,K1843,,,,,,Bayern
62.0,80098.84348008504,männlich,37.0,K1651,,,,,,Sachsen
36.0,22706.333687510007,weiblich,35.0,K1830,,,,,,Baden-Württemberg
64.0,80694.13503602639,weiblich,20.0,K1788,,,,,,Baden-Württemberg
57.0,69354.03908552793,männlich,51.0,K1203,,,,,,Thüringen
34.0,37661.69296425793,männlich,28.0,K1832,,,,,,Bayern
49.0,70657.90273822784,weiblich,47.0,K1678,,,,,,Nordrhein-Westfalen
68.0,82209.9028990893,weiblich,36.0,K1511,,,,,,Nordrhein-Westfalen
49.0,67813.53353244104,weiblich,44.0,K1607,,,,,,Niedersachsen
69.0,69862.19896027556,männlich,44.0,K1152,,,,,,Hessen
57.0,68849.42162075546,weiblich,30.0,K1137,,,,,,Berlin
58.0,64187.77402135038,weiblich,42.0,K1305,,,,,,Bayern
59.0,63241.90384258392,männlich,33.0,K1239,,,,,,Berlin
58.0,81205.2106669526,männlich,46.0,K1132,,,,,,Hessen
42.0,48307.88333506359,männlich,41.0,K1952,,,,,,Berlin
41.0,51201.01414120506,männlich,28.0,K1335,,,,,,Berlin
38.0,60020.87616762462,weiblich,25.0,K1594,,,,,,Niedersachsen
49.0,51392.49926367718,weiblich,40.0,K1483,,,,,,Baden-Württemberg
68.0,75570.01523540512,männlich,35.0,K1393,,,,,,Berlin
58.0,74947.00882859303,weiblich,47.0,K1523,,,,,,Nordrhein-Westfalen
53.0,65983.03408246486,weiblich,48.0,K1779,,,,,,Baden-Württemberg
66.0,80806.3785643034,männlich,22.0,K1496,,,,,,Bayern
44.0,60135.62060655392,männlich,50.0,K1697,,,,,,Bayern
62.0,70449.09092468504,weiblich,24.0,K1603,,,,,,Niedersachsen
70.0,87311.6479662892,weiblich,46.0,K1243,,,,,,Berlin
51.0,43966.82165100914,männlich,51.0,K1167,,,,,,Nordrhein-Westfalen
40.0,50404.683471917626,männlich,39.0,K1576,,,,,,Baden-Württemberg
30.0,37308.86983279808,weiblich,30.0,K1752,,,,,,Berlin
57.0,77750.94761607521,weiblich,25.0,K1233,,,,,,Bayern
39.0,45047.55095673474,weiblich,28.0,K1972,,,,,,Nordrhein-Westfalen
34.0,33066.51872882614,weiblich,34.0,K1625,,,,,,Baden-Württemberg
58.0,57893.550514330855,männlich,38.0,K1169,,,,,,Hessen
60.0,63515.3557570424,männlich,44.0,K1119,,,,,,Nordrhein-Westfalen
62.0,77583.3564677155,weiblich,18.0,K1261,,,,,,Berlin
56.0,41843.15467731814,weiblich,40.0,K1145,,,,,,Berlin
30.0,40182.209774789095,weiblich,32.0,K1597,,,,,,Nordrhein-Westfalen
47.0,58432.854376868185,weiblich,22.0,K1484,,,,,,Baden-Württemberg
66.0,77161.38225056148,weiblich,15.0,K1292,,,,,,Baden-Württemberg
38.0,47188.88812026303,weiblich,41.0,K1868,,,,,,Bayern
41.0,49550.96776765906,weiblich,31.0,K1321,,,,,,Baden-Württemberg
30.0,30096.83903677389,weiblich,8.0,K1157,,,,,,Thüringen
45.0,48971.41724927535,weiblich,55.0,K1442,,,,,,Nordrhein-Westfalen
42.0,35264.285269608416,männlich,42.0,K1853,,,,,,Baden-Württemberg
47.0,51429.78677781613,weiblich,24.0,K1824,,,,,,Nordrhein-Westfalen
48.0,73148.25210218443,männlich,40.0,K1829,,,,,,Sachsen
51.0,69768.66331736703,weiblich,32.0,K1400,,,,,,Hessen
46.0,66328.13647748511,männlich,20.0,K1806,,,,,,Berlin
70.0,66260.0261280502,weiblich,43.0,K1356,,,,,,Nordrhein-Westfalen
45.0,50109.82725085266,weiblich,25.0,K1831,,,,,,Baden-Württemberg
46.0,57509.96508522576,männlich,43.0,K1566,,,,,,Hamburg
58.0,69209.45004428051,weiblich,34.0,K1560,,,,,,Nordrhein-Westfalen
67.0,81521.76144297997,männlich,21.0,K1992,,,,,,Baden-Württemberg
49.0,60350.97690802643,männlich,35.0,K1374,,,,,,Baden-Württemberg
42.0,53357.53278831714,männlich,47.0,K1306,,,,,,Berlin
56.0,61601.83870475674,männlich,48.0,K1266,,,,,,Bayern
62.0,65956.21914527242,männlich,22.0,K1660,,,,,,Berlin
30.0,45591.20724531085,männlich,26.0,K1834,,,,,,Hessen
48.0,43655.93017037532,weiblich,41.0,K1506,,,,,,Nordrhein-Westfalen
59.0,56316.93332282888,weiblich,35.0,K1807,,,,,,Niedersachsen
68.0,84969.40499640783,männlich,24.0,K1581,,,,,,Berlin
36.0,43724.72288212965,männlich,43.0,K1876,,,,,,Nordrhein-Westfalen
69.0,65999.38116269282,weiblich,44.0,K1210,,,,,,Bayern
43.0,53630.872956814776,männlich,54.0,K1670,,,,,,Baden-Württemberg
63.0,81611.74538927511,männlich,38.0,K1494,,,,,,Hessen
34.0,43358.56434967347,männlich,33.0,K1106,,,,,,Berlin
52.0,54508.68539041199,weiblich,30.0,K1937,,,,,,Nordrhein-Westfalen
53.0,68187.64468748034,weiblich,35.0,K1666,,,,,,Baden-Württemberg
37.0,56717.58760576484,weiblich,40.0,K1185,,,,,,Bayern
39.0,40996.11239065249,männlich,28.0,K1310,,,,,,Hessen
59.0,61880.00056054359,weiblich,35.0,K1139,,,,,,Bayern
70.0,72700.31509270631,männlich,48.0,K1880,,,,,,Nordrhein-Westfalen
60.0,78633.97284484014,weiblich,41.0,K1613,,,,,,Nordrhein-Westfalen
64.0,67710.1761467787,männlich,43.0,K1532,,,,,,Nordrhein-Westfalen
40.0,54688.48408511369,männlich,43.0,K1559,,,,,,Baden-Württemberg
36.0,49200.62245305059,männlich,58.0,K1471,,,,,,Berlin
43.0,37696.62541510117,männlich,7.0,K1196,,,,,,Niedersachsen
54.0,71635.44389752425,männlich,46.0,K1444,,,,,,Baden-Württemberg
64.0,59961.78573779843,männlich,48.0,K1669,,,,,,Hessen
41.0,38375.78138430826,weiblich,25.0,K1450,,,,,,Thüringen
35.0,51044.09254333704,männlich,21.0,K1881,,,,,,Sachsen
40.0,54037.310030892266,weiblich,19.0,K1346,,,,,,Nordrhein-Westfalen
46.0,65112.43068984319,weiblich,54.0,K1118,,,,,,Bayern
70.0,69099.94379724779,weiblich,24.0,K1420,,,,,,Sachsen
65.0,77311.9739206334,weiblich,28.0,K1705,,,,,,Nordrhein-Westfalen
35.0,34180.68077831874,männlich,26.0,K1492,,,,,,Niedersachsen
52.0,66521.77673029815,männlich,47.0,K1378,,,,,,Nordrhein-Westfalen
34.0,34322.45474166627,männlich,17.0,K1271,,,,,,Sachsen
37.0,39509.3886198562,weiblich,34.0,K1988,,,,,,Baden-Württemberg
40.0,55845.12052725056,männlich,26.0,K1751,,,,,,Berlin
63.0,78156.46621911302,männlich,27.0,K1923,,,,,,Nordrhein-Westfalen
35.0,47150.77367320037,männlich,12.0,K1589,,,,,,Berlin
31.0,26466.439594051568,männlich,40.0,K1978,,,,,,Thüringen
32.0,40776.02314471374,männlich,13.0,K1609,,,,,,Berlin
60.0,65588.40358296338,weiblich,38.0,K1936,,,,,,Bayern
58.0,60418.96718784391,männlich,55.0,K1348,,,,,,Nordrhein-Westfalen
41.0,45567.30061803409,weiblich,35.0,K1671,,,,,,Baden-Württemberg
32.0,35272.926564171445,weiblich,30.0,K1667,,,,,,Nordrhein-Westfalen
46.0,70647.16884927596,weiblich,52.0,K1791,,,,,,Bayern
57.0,77462.12620064212,männlich,27.0,K1294,,,,,,Bayern
60.0,54229.96589811336,männlich,50.0,K1887,,,,,,Hessen
30.0,42931.66563188125,männlich,34.0,K1804,,,,,,Nordrhein-Westfalen
36.0,44077.95934623655,weiblich,25.0,K1580,,,,,,Nordrhein-Westfalen
30.0,52892.24489319211,männlich,33.0,K1786,,,,,,Baden-Württemberg
46.0,65676.46865736888,männlich,20.0,K1615,,,,,,Baden-Württemberg
52.0,49271.15093249532,männlich,31.0,K1163,,,,,,Niedersachsen
55.0,60312.344941033865,männlich,26.0,K1579,,,,,,Bayern
43.0,49469.83311831008,männlich,31.0,K1665,,,,,,Berlin
33.0,49675.88380895828,weiblich,36.0,K1852,,,,,,Hamburg
63.0,60048.61890406629,weiblich,33.0,K1357,,,,,,Berlin
65.0,86000.22043383513,weiblich,39.0,K1126,,,,,,Bayern
67.0,85349.59272714778,weiblich,35.0,K1418,,,,,,Baden-Württemberg
42.0,55437.14395534791,weiblich,37.0,K1564,,,,,,Brandenburg
61.0,74660.13264222299,männlich,36.0,K1265,,,,,,Bayern
43.0,63300.066464825926,weiblich,44.0,K1381,,,,,,Berlin
63.0,67502.37221616226,männlich,32.0,K1296,,,,,,Nordrhein-Westfalen
40.0,41373.85105965837,weiblich,50.0,K1490,,,,,,Thüringen
39.0,41160.410278521726,weiblich,37.0,K1910,,,,,,Baden-Württemberg
66.0,89744.99467999548,weiblich,37.0,K1518,,,,,,Bayern
62.0,70988.4472906834,weiblich,38.0,K1596,,,,,,Niedersachsen
60.0,62735.45678396812,weiblich,28.0,K1448,,,,,,Baden-Württemberg
70.0,84240.31803710136,männlich,30.0,K1874,,,,,,Hamburg
46.0,64231.463753689066,männlich,52.0,K1413,,,,,,Bayern
47.0,55129.65608568848,weiblich,33.0,K1766,,,,,,Bayern
43.0,59104.51301372704,männlich,62.0,K1235,,,,,,Niedersachsen
59.0,73522.00822960361,männlich,26.0,K1768,,,,,,Hamburg
51.0,46979.787008357554,männlich,43.0,K1976,,,,,,Hamburg
34.0,50082.23275161896,männlich,19.0,K1204,,,,,,Baden-Württemberg
49.0,61221.78113765836,männlich,35.0,K1477,,,,,,Nordrhein-Westfalen
57.0,74592.79954735856,weiblich,38.0,K1192,,,,,,Sachsen
68.0,86843.33779081808,männlich,28.0,K1563,,,,,,Berlin
61.0,72725.18968724947,männlich,28.0,K1435,,,,,,Berlin
32.0,31562.64677399754,männlich,52.0,K1319,,,,,,Baden-Württemberg
37.0,44541.69777524597,weiblich,34.0,K1571,,,,,,Niedersachsen
44.0,61848.4722403355,männlich,22.0,K1226,,,,,,Baden-Württemberg
53.0,64184.29083653157,weiblich,33.0,K1719,,,,,,Brandenburg
41.0,41970.75544641636,männlich,20.0,K1125,,,,,,Hamburg
31.0,47827.72371659648,männlich,20.0,K1805,,,,,,Hessen
37.0,41292.5402355632,weiblich,33.0,K1176,,,,,,Niedersachsen
32.0,34391.82496545645,männlich,48.0,K1211,,,,,,Hessen
41.0,68516.49543941053,weiblich,34.0,K1375,,,,,,Sachsen
65.0,89685.33344089528,weiblich,23.0,K1965,,,,,,Bayern
68.0,95714.30526812703,weiblich,32.0,K1540,,,,,,Bayern
49.0,73319.1870845747,weiblich,27.0,K1207,,,,,,Niedersachsen
,,,,K0310,64.0,66894.0,88160.31,männlich,43.0,Bayern
,,,,K1042,54.0,77644.0,103145.7,männlich,40.0,Berlin
,,,,K0382,55.0,44341.0,80565.16,weiblich,37.0,Baden-Württemberg
,,,,K0498,49.0,67271.0,83949.89,weiblich,42.0,Bayern
,,,,K0552,46.0,49832.0,93781.58,weiblich,41.0,Hessen
,,,,K0833,59.0,62970.0,83862.47,männlich,56.0,Hessen
,,,,K0097,36.0,23660.0,49960.18,männlich,23.0,Thüringen
,,,,K0290,50.0,62422.0,94530.65,männlich,38.0,Thüringen
,,,,K0950,32.0,34112.0,62280.35,männlich,36.0,Bayern
,,,,K0102,62.0,77546.0,124857.23,männlich,52.0,Baden-Württemberg
,,,,K1098,68.0,77662.0,118227.18,männlich,54.0,Thüringen
,,,,K0071,45.0,68432.0,82849.76,weiblich,39.0,Berlin
,,,,K1023,51.0,37169.0,57319.84,weiblich,31.0,Sachsen
,,,,K0482,65.0,78613.0,114603.28,männlich,50.0,Baden-Württemberg
,,,,K0440,53.0,69721.0,98479.34,männlich,54.0,Hessen
,,,,K0877,62.0,62350.0,84761.44,männlich,42.0,Hessen
,,,,K0295,34.0,57844.0,62302.49,männlich,54.0,Nordrhein-Westfalen
,,,,K0329,55.0,44222.0,78218.77,männlich,37.0,Bayern
,,,,K0433,53.0,74381.0,120881.72,weiblich,57.0,Nordrhein-Westfalen
,,,,K0142,57.0,45095.0,77157.15,weiblich,42.0,Baden-Württemberg
,,,,K0762,43.0,52813.0,67106.32,weiblich,44.0,Berlin
,,,,K0459,46.0,49340.0,69960.66,weiblich,47.0,Nordrhein-Westfalen
,,,,K0865,62.0,89774.0,117051.99,männlich,72.0,Sachsen
,,,,K1001,55.0,66861.0,97465.12,weiblich,54.0,Bayern
,,,,K0889,66.0,84822.0,118968.62,weiblich,56.0,Hessen
,,,,K0917,59.0,91693.0,121840.18,männlich,52.0,Bayern
,,,,K0537,67.0,61517.0,80799.11,weiblich,43.0,Niedersachsen
,,,,K0362,66.0,78548.0,121289.35,weiblich,69.0,Sachsen
,,,,K0856,40.0,61386.0,81555.07,weiblich,53.0,Niedersachsen
,,,,K0399,41.0,45016.0,65106.71,weiblich,39.0,Niedersachsen
,,,,K0448,30.0,39302.0,71437.17,männlich,35.0,Baden-Württemberg
,,,,K0210,65.0,83431.0,119640.51,männlich,65.0,Baden-Württemberg
,,,,K0502,48.0,46259.0,73400.97,männlich,29.0,Baden-Württemberg
,,,,K0782,53.0,56160.0,93839.56,männlich,38.0,Nordrhein-Westfalen
,,,,K0912,37.0,47689.0,73619.96,weiblich,20.0,Hessen
,,,,K0412,55.0,56264.0,83364.29,männlich,40.0,Baden-Württemberg
,,,,K0690,34.0,27844.0,41694.48,weiblich,36.0,Bayern
,,,,K0698,43.0,72619.0,94619.66,männlich,56.0,Berlin
,,,,K0045,57.0,51842.0,70527.14,weiblich,51.0,Sachsen
,,,,K0535,39.0,16051.0,24654.09,weiblich,29.0,Hamburg
,,,,K0766,55.0,63325.0,89117.31,weiblich,46.0,Berlin
,,,,K0335,58.0,64638.0,98621.47,männlich,46.0,Bayern
,,,,K0695,44.0,54514.0,80645.05,männlich,53.0,Hessen
,,,,K0603,39.0,44538.0,74086.48,weiblich,40.0,Bayern
,,,,K0520,65.0,96471.0,145684.18,männlich,55.0,Nordrhein-Westfalen
,,,,K0468,36.0,35235.0,67764.25,männlich,22.0,Nordrhein-Westfalen
,,,,K1047,36.0,41489.0,63321.68,männlich,47.0,Baden-Württemberg
,,,,K0619,70.0,77553.0,119128.85,männlich,58.0,Bayern
,,,,K0449,62.0,62829.0,96175.78,männlich,42.0,Baden-Württemberg
,,,,K0919,50.0,67714.0,90616.13,weiblich,55.0,Hessen
,,,,K0052,69.0,73444.0,115561.62,männlich,47.0,Niedersachsen
,,,,K0732,52.0,49778.0,72763.75,männlich,44.0,Thüringen
,,,,K0622,46.0,61088.0,117616.31,männlich,48.0,Berlin
,,,,K0735,40.0,61057.0,77084.28,weiblich,47.0,Baden-Württemberg
,,,,K0199,35.0,52067.0,67345.58,männlich,44.0,Berlin
,,,,K0057,58.0,64180.0,98148.01,männlich,51.0,Baden-Württemberg
,,,,K0507,41.0,39630.0,80659.67,männlich,41.0,Bayern
,,,,K0299,46.0,67665.0,83620.57,weiblich,50.0,Berlin
,,,,K0531,40.0,43103.0,77219.0,weiblich,33.0,Berlin
,,,,K0998,35.0,39813.0,60757.87,weiblich,31.0,Niedersachsen
,,,,K0193,40.0,45448.0,70066.79,weiblich,40.0,Baden-Württemberg
,,,,K0139,61.0,90246.0,111436.45,weiblich,61.0,Bayern
,,,,K0588,65.0,60323.0,90362.92,männlich,47.0,Niedersachsen
,,,,K0406,57.0,70535.0,88743.79,männlich,46.0,Nordrhein-Westfalen
,,,,K0630,64.0,76331.0,108153.91,männlich,52.0,Baden-Württemberg
,,,,K0713,53.0,57988.0,114801.87,männlich,45.0,Nordrhein-Westfalen
,,,,K1056,35.0,58838.0,81539.66,männlich,47.0,Sachsen
,,,,K0957,68.0,89783.0,138190.26,männlich,73.0,Baden-Württemberg
,,,,K0110,64.0,69256.0,110341.3,männlich,47.0,Berlin
,,,,K0278,46.0,47284.0,62114.5,weiblich,46.0,Niedersachsen
,,,,K0032,66.0,63799.0,109159.01,männlich,48.0,Brandenburg
,,,,K0087,40.0,47192.0,72220.0,weiblich,48.0,Sachsen
,,,,K0454,41.0,42992.0,65811.72,männlich,38.0,Bayern
,,,,K0089,37.0,45503.0,50836.91,männlich,35.0,Nordrhein-Westfalen
,,,,K0108,51.0,66908.0,93021.39,männlich,65.0,Bayern
,,,,K0333,38.0,34983.0,39236.62,weiblich,33.0,Hamburg
,,,,K0944,43.0,38995.0,61300.12,männlich,43.0,Nordrhein-Westfalen
,,,,K0774,64.0,60640.0,92602.45,männlich,46.0,Baden-Württemberg
,,,,K0716,46.0,62061.0,105588.24,männlich,43.0,Nordrhein-Westfalen
,,,,K1029,55.0,63152.0,101027.77,männlich,46.0,Niedersachsen
,,,,K0466,63.0,65114.0,102718.58,männlich,47.0,Berlin
,,,,K0729,31.0,45575.0,67425.51,männlich,41.0,Bayern
,,,,K0426,39.0,48855.0,68265.8,männlich,46.0,Hessen
,,,,K0573,68.0,84070.0,122645.18,männlich,63.0,Brandenburg
,,,,K0523,68.0,83899.0,128052.56,weiblich,59.0,Berlin
,,,,K0614,55.0,81244.0,108119.52,männlich,58.0,Hamburg
,,,,K0938,44.0,40928.0,68349.12,weiblich,36.0,Niedersachsen
,,,,K0011,53.0,30821.0,58450.55,männlich,26.0,Nordrhein-Westfalen
,,,,K1094,33.0,46732.0,78942.39,männlich,37.0,Berlin
,,,,K0934,61.0,59597.0,104647.51,weiblich,47.0,Baden-Württemberg
,,,,K0725,53.0,63147.0,105317.06,männlich,47.0,Hamburg
,,,,K0328,31.0,30572.0,47857.93,weiblich,31.0,Thüringen
,,,,K0179,31.0,24944.0,31094.22,männlich,35.0,Hessen
,,,,K0568,57.0,37682.0,48170.28,weiblich,45.0,Berlin
,,,,K0974,42.0,68945.0,88842.18,männlich,49.0,Berlin
,,,,K0591,49.0,32964.0,49823.49,weiblich,29.0,Bayern
,,,,K0952,37.0,55505.0,61612.78,männlich,39.0,Berlin
,,,,K0586,40.0,50626.0,75452.53,männlich,40.0,Sachsen
,,,,K0114,43.0,45517.0,63320.19,weiblich,33.0,Hessen
,,,,K0843,60.0,60569.0,89849.34,weiblich,52.0,Brandenburg
,,,,K0334,68.0,94307.0,139799.0,weiblich,56.0,Berlin
,,,,K0050,46.0,50946.0,83406.88,weiblich,32.0,Nordrhein-Westfalen
,,,,K0060,63.0,92456.0,141292.39,weiblich,57.0,Bayern
,,,,K0945,69.0,80400.0,120052.16,weiblich,54.0,Berlin
,,,,K1028,50.0,55477.0,88889.58,männlich,46.0,Hamburg
,,,,K0755,35.0,25203.0,48554.06,männlich,37.0,Brandenburg
,,,,K0274,49.0,34170.0,53806.21,weiblich,30.0,Hessen
,,,,K0949,35.0,53806.0,84195.58,männlich,45.0,Berlin
,,,,K0585,50.0,35262.0,55722.36,weiblich,25.0,Berlin
,,,,K0784,55.0,79794.0,118498.73,männlich,54.0,Hessen
,,,,K0024,41.0,46542.0,63477.0,männlich,40.0,Baden-Württemberg
,,,,K0219,62.0,72626.0,109158.35,männlich,59.0,Baden-Württemberg
,,,,K0159,68.0,77118.0,83418.33,männlich,47.0,Berlin
,,,,K0532,47.0,56965.0,86689.81,weiblich,41.0,Niedersachsen
,,,,K0211,48.0,67923.0,104683.62,weiblich,41.0,Sachsen
,,,,K0680,63.0,55422.0,81784.14,weiblich,40.0,Sachsen
,,,,K1035,50.0,64086.0,92285.2,männlich,34.0,Sachsen
,,,,K0813,51.0,72996.0,124497.54,weiblich,50.0,Bayern
,,,,K0981,34.0,25970.0,45444.01,weiblich,33.0,Bayern
,,,,K0084,30.0,42551.0,58706.65,männlich,46.0,Niedersachsen
,,,,K0982,58.0,73890.0,100147.52,weiblich,48.0,Sachsen
,,,,K0421,39.0,59413.0,80369.74,weiblich,44.0,Baden-Württemberg
,,,,K0834,60.0,51460.0,80985.24,männlich,31.0,Sachsen
,,,,K0826,51.0,72225.0,120296.65,weiblich,52.0,Nordrhein-Westfalen
,,,,K0721,46.0,65611.0,85435.92,männlich,54.0,Thüringen
,,,,K0129,61.0,57745.0,102766.17,männlich,49.0,Baden-Württemberg
,,,,K0360,35.0,38580.0,47131.37,männlich,44.0,Baden-Württemberg
,,,,K0276,36.0,55185.0,64034.01,weiblich,50.0,Nordrhein-Westfalen
,,,,K0954,58.0,52599.0,88810.94,männlich,47.0,Sachsen
,,,,K0320,32.0,31090.0,59413.64,männlich,29.0,Baden-Württemberg
,,,,K0077,58.0,59695.0,99547.37,männlich,43.0,Bayern
,,,,K0618,66.0,73497.0,104863.39,männlich,47.0,Baden-Württemberg
,,,,K0209,49.0,40198.0,62115.3,männlich,52.0,Bayern
,,,,K0571,37.0,43760.0,63570.42,männlich,35.0,Hessen
,,,,K0221,68.0,70277.0,130143.33,männlich,48.0,Bayern
,,,,K0287,56.0,66786.0,108886.48,männlich,55.0,Berlin
,,,,K0789,47.0,57545.0,70459.81,männlich,45.0,Niedersachsen
,,,,K0378,48.0,47153.0,67603.44,weiblich,20.0,Sachsen
,,,,K0244,48.0,30477.0,53902.36,männlich,29.0,Niedersachsen
,,,,K0140,36.0,47319.0,76696.47,weiblich,43.0,Sachsen
,,,,K0232,36.0,39697.0,60883.05,weiblich,48.0,Sachsen
,,,,K0994,40.0,59298.0,96941.73,männlich,40.0,Sachsen
,,,,K0494,55.0,88749.0,119134.23,weiblich,64.0,Bayern
,,,,K0631,35.0,51556.0,73467.98,männlich,46.0,Bayern
,,,,K0372,69.0,82036.0,118543.95,weiblich,52.0,Berlin
,,,,K0709,56.0,69651.0,123769.4,männlich,54.0,Baden-Württemberg
,,,,K0271,62.0,62114.0,87670.86,männlich,44.0,Berlin
,,,,K0815,37.0,37168.0,55031.56,männlich,30.0,Bayern
,,,,K0968,31.0,41983.0,43660.45,männlich,50.0,Baden-Württemberg
,,,,K1055,36.0,46427.0,57408.1,männlich,28.0,Bayern
,,,,K0157,70.0,63937.0,121009.5,weiblich,46.0,Hessen
,,,,K0862,33.0,23596.0,44008.34,männlich,27.0,Baden-Württemberg
,,,,K0964,56.0,67000.0,117255.91,männlich,63.0,Baden-Württemberg
,,,,K0986,56.0,57640.0,83811.43,weiblich,46.0,Niedersachsen
,,,,K1030,65.0,86078.0,133381.03,weiblich,68.0,Thüringen
,,,,K0465,55.0,62380.0,92302.99,weiblich,64.0,Niedersachsen
,,,,K0079,30.0,49606.0,76579.11,weiblich,34.0,Baden-Württemberg
,,,,K0175,32.0,50330.0,49540.28,männlich,27.0,Bayern
,,,,K0809,32.0,28303.0,57388.47,weiblich,26.0,Bayern
,,,,K0791,64.0,93624.0,126237.04,männlich,55.0,Bayern
,,,,K0528,64.0,85374.0,121684.52,männlich,62.0,Baden-Württemberg
,,,,K0644,50.0,41164.0,74268.93,männlich,31.0,Nordrhein-Westfalen
,,,,K0332,62.0,80179.0,138650.02,männlich,56.0,Niedersachsen
,,,,K0040,43.0,44559.0,74144.49,männlich,22.0,Sachsen
,,,,K0031,32.0,40277.0,42093.26,männlich,34.0,Bayern
,,,,K0814,63.0,63391.0,105484.64,weiblich,43.0,Berlin
,,,,K0137,65.0,77918.0,104728.1,männlich,62.0,Nordrhein-Westfalen
,,,,K0055,35.0,53464.0,82821.95,männlich,41.0,Bayern
,,,,K0812,65.0,58549.0,97388.62,männlich,38.0,Baden-Württemberg
,,,,K0717,34.0,55070.0,67139.29,weiblich,46.0,Berlin
,,,,K0526,60.0,70296.0,94507.15,männlich,46.0,Niedersachsen
,,,,K1063,50.0,70355.0,104977.17,weiblich,50.0,Niedersachsen
,,,,K0324,51.0,75335.0,110590.22,weiblich,50.0,Sachsen
,,,,K0632,47.0,48751.0,79984.29,männlich,43.0,Berlin
,,,,K0004,37.0,48957.0,76412.36,weiblich,36.0,Bayern
,,,,K0431,33.0,35813.0,54223.32,männlich,31.0,Bayern
,,,,K0505,70.0,90763.0,149827.25,männlich,74.0,Sachsen
,,,,K1072,36.0,59150.0,63818.75,weiblich,46.0,Thüringen
,,,,K0689,30.0,51957.0,86152.97,männlich,37.0,Bayern
,,,,K1014,66.0,67768.0,125157.59,männlich,54.0,Sachsen
,,,,K0261,58.0,65162.0,106934.76,männlich,56.0,Bayern
,,,,K0200,51.0,54077.0,77842.13,männlich,48.0,Berlin
,,,,K0059,55.0,68245.0,112358.24,weiblich,52.0,Baden-Württemberg
,,,,K0064,60.0,68926.0,91715.99,männlich,39.0,Bayern
,,,,K0702,67.0,87538.0,120582.75,männlich,53.0,Berlin
,,,,K0714,44.0,57008.0,77339.83,weiblich,43.0,Thüringen
,,,,K0366,68.0,62116.0,98786.45,weiblich,44.0,Hamburg
,,,,K0101,63.0,85695.0,114451.46,männlich,61.0,Brandenburg
,,,,K0169,61.0,65117.0,102799.87,weiblich,49.0,Bayern
,,,,K0540,69.0,63958.0,106491.22,männlich,42.0,Nordrhein-Westfalen
,,,,K0356,51.0,64228.0,85280.73,weiblich,46.0,Bayern
,,,,K0248,53.0,68587.0,94955.06,weiblich,61.0,Hamburg
,,,,K0569,49.0,66068.0,93925.34,männlich,51.0,Berlin
,,,,K1074,61.0,74008.0,110730.9,männlich,62.0,Hessen
,,,,K0389,61.0,91903.0,111764.41,weiblich,60.0,Sachsen
,,,,K1024,40.0,45828.0,93946.55,männlich,46.0,Niedersachsen
,,,,K1080,59.0,78591.0,121131.95,männlich,66.0,Nordrhein-Westfalen
,,,,K0887,49.0,74627.0,102198.45,männlich,65.0,Bayern
,,,,K0480,64.0,86943.0,126122.42,männlich,68.0,Thüringen
,,,,K1046,31.0,22137.0,38697.44,männlich,20.0,Nordrhein-Westfalen
,,,,K0067,43.0,70304.0,83886.2,männlich,52.0,Thüringen
,,,,K0615,37.0,31911.0,49510.98,weiblich,34.0,Hessen
,,,,K0068,52.0,49657.0,89589.3,männlich,46.0,Nordrhein-Westfalen
,,,,K0245,45.0,57880.0,98898.93,weiblich,44.0,Nordrhein-Westfalen
,,,,K0013,69.0,89082.0,124730.66,männlich,66.0,Nordrhein-Westfalen
,,,,K0355,52.0,59767.0,90442.28,männlich,52.0,Berlin
,,,,K0757,34.0,51868.0,87676.29,männlich,33.0,Baden-Württemberg
,,,,K0463,55.0,62186.0,90301.78,weiblich,38.0,Niedersachsen
,,,,K0297,33.0,45811.0,64066.66,männlich,40.0,Berlin
,,,,K0637,59.0,66293.0,91936.18,weiblich,44.0,Baden-Württemberg
,,,,K0753,51.0,65955.0,122657.88,weiblich,44.0,Bayern
,,,,K0185,30.0,18515.0,41027.79,männlich,30.0,Bayern
,,,,K0343,49.0,55986.0,71207.17,männlich,37.0,Bayern
,,,,K0582,61.0,72725.0,109982.32,männlich,42.0,Baden-Württemberg
,,,,K0238,34.0,60319.0,77978.88,weiblich,51.0,Niedersachsen
,,,,K0483,47.0,55536.0,76897.16,weiblich,37.0,Bayern
,,,,K1058,62.0,76222.0,107580.68,männlich,56.0,Hessen
,,,,K0322,53.0,50089.0,90472.38,männlich,39.0,Bayern
,,,,K0983,33.0,38675.0,56493.4,männlich,13.0,Baden-Württemberg
,,,,K0925,33.0,35064.0,48350.07,männlich,39.0,Berlin
,,,,K0772,30.0,42861.0,74561.85,männlich,42.0,Baden-Württemberg
,,,,K1007,54.0,57917.0,94386.02,männlich,47.0,Niedersachsen
